y,y_pred,y_pred_prob,oth_pred,oth_pred_prob
1,1,0.522508,0,0.477492
1,1,0.562089,0,0.437911
1,0,0.510390,1,0.489610
1,0,0.634187,1,0.365813
1,1,0.506638,0,0.493362
1,1,0.513054,0,0.486946
1,1,0.502766,0,0.497234
1,1,0.503502,0,0.496498
1,1,0.613866,0,0.386134
1,1,0.517827,0,0.482173
1,1,0.528745,0,0.471255
1,0,0.506743,1,0.493257
1,0,0.560453,1,0.439547
1,1,0.521719,0,0.478281
1,1,0.519319,0,0.480681
1,1,0.560089,0,0.439911
1,1,0.548275,0,0.451725
1,1,0.507760,0,0.492240
1,1,0.660703,0,0.339297
1,1,0.532146,0,0.467854
1,1,0.526995,0,0.473005
1,0,0.515427,1,0.484573
1,1,0.534882,0,0.465118
1,1,0.525009,0,0.474991
1,1,0.533657,0,0.466343
1,1,0.603294,0,0.396706
1,1,0.512099,0,0.487901
1,0,0.589957,1,0.410043
1,1,0.527464,0,0.472536
1,0,0.545622,1,0.454378
1,0,1.000000,1,0.000000
1,0,0.500767,1,0.499233
1,1,0.511490,0,0.488510
1,0,1.000000,1,0.000000
1,1,0.531011,0,0.468989
1,0,1.000000,1,0.000000
1,1,0.525902,0,0.474098
1,1,0.512547,0,0.487453
1,0,0.617120,1,0.382880
1,0,0.548994,1,0.451006
1,0,0.508346,1,0.491654
1,1,0.501114,0,0.498886
1,1,0.500488,0,0.499512
1,0,0.515355,1,0.484645
1,1,0.513306,0,0.486694
1,1,0.515102,0,0.484898
1,1,0.502370,0,0.497630
1,1,0.568362,0,0.431638
1,1,0.522774,0,0.477226
1,1,0.503341,0,0.496659
1,1,0.513366,0,0.486634
1,1,0.563812,0,0.436188
1,1,0.510494,0,0.489506
1,1,0.547418,0,0.452582
1,0,0.552347,1,0.447653
1,1,0.568362,0,0.431638
1,1,0.551863,0,0.448137
1,1,0.524550,0,0.475450
1,0,0.528134,1,0.471866
1,1,0.507521,0,0.492479
1,0,0.500227,1,0.499773
1,1,0.530475,0,0.469525
1,1,0.515508,0,0.484492
1,1,0.514457,0,0.485543
1,1,0.511013,0,0.488987
1,1,0.521251,0,0.478749
1,0,0.613885,1,0.386115
1,1,0.504391,0,0.495609
1,1,0.517149,0,0.482851
1,1,0.536078,0,0.463922
1,1,0.536949,0,0.463051
1,1,0.539438,0,0.460562
1,1,0.539732,0,0.460268
1,0,0.507241,1,0.492759
1,1,0.518160,0,0.481840
1,0,0.508330,1,0.491670
1,0,0.537759,1,0.462241
1,1,0.517245,0,0.482755
1,0,0.637049,1,0.362951
1,1,0.517729,0,0.482271
1,0,0.504180,1,0.495820
1,1,0.500940,0,0.499060
1,0,0.517756,1,0.482244
1,0,0.528664,1,0.471336
1,1,0.517149,0,0.482851
1,1,0.501858,0,0.498142
1,1,0.532966,0,0.467034
1,1,0.504246,0,0.495754
1,1,0.503121,0,0.496879
1,0,0.528134,1,0.471866
1,0,0.502324,1,0.497676
1,0,0.512194,1,0.487806
1,1,0.510863,0,0.489137
1,1,0.511799,0,0.488201
1,1,0.534882,0,0.465118
1,1,0.502370,0,0.497630
1,0,0.520145,1,0.479855
1,0,0.500944,1,0.499056
1,1,0.513166,0,0.486834
1,1,0.506485,0,0.493515
1,1,0.505162,0,0.494838
1,1,0.514571,0,0.485429
1,1,0.516410,0,0.483590
1,1,0.511225,0,0.488775
1,1,0.539099,0,0.460901
1,0,0.506927,1,0.493073
1,1,0.569542,0,0.430458
1,1,0.534882,0,0.465118
1,1,0.500780,0,0.499220
1,1,0.587325,0,0.412675
1,1,0.504454,0,0.495546
1,0,0.505883,1,0.494117
1,1,0.503273,0,0.496727
1,0,0.654485,1,0.345515
1,0,0.535300,1,0.464700
1,1,0.507418,0,0.492582
1,1,0.502033,0,0.497967
1,1,0.576406,0,0.423594
1,1,0.547909,0,0.452091
1,1,0.515064,0,0.484936
1,1,0.513238,0,0.486762
1,1,0.512539,0,0.487461
1,0,0.508330,1,0.491670
1,0,0.531865,1,0.468135
1,1,0.540214,0,0.459786
1,1,0.517149,0,0.482851
1,0,0.531829,1,0.468171
1,0,0.500309,1,0.499691
1,0,1.000000,1,0.000000
1,0,0.507241,1,0.492759
1,1,0.501922,0,0.498078
1,1,0.553172,0,0.446828
1,1,0.512759,0,0.487241
1,0,0.508865,1,0.491135
1,1,0.548302,0,0.451698
1,1,0.547597,0,0.452403
1,0,0.568388,1,0.431612
1,1,0.512902,0,0.487098
1,0,1.000000,1,0.000000
1,1,0.501475,0,0.498525
1,0,0.503095,1,0.496905
1,0,0.508900,1,0.491100
1,0,0.531829,1,0.468171
1,1,0.522045,0,0.477955
1,1,0.505351,0,0.494649
1,0,0.532868,1,0.467132
1,1,0.512300,0,0.487700
1,1,0.523708,0,0.476292
1,0,0.567009,1,0.432991
1,1,0.507159,0,0.492841
1,0,0.510929,1,0.489071
1,0,0.532994,1,0.467006
1,1,0.627581,0,0.372419
1,1,0.553574,0,0.446426
1,0,0.544812,1,0.455188
1,1,0.515102,0,0.484898
1,0,0.535024,1,0.464976
1,1,0.518523,0,0.481477
1,1,0.526084,0,0.473916
1,0,0.500999,1,0.499001
1,1,0.508826,0,0.491174
1,1,0.530205,0,0.469795
1,1,0.504485,0,0.495515
1,1,0.604210,0,0.395790
1,0,0.511040,1,0.488960
1,1,0.509715,0,0.490285
1,1,0.536078,0,0.463922
1,1,0.521441,0,0.478559
1,1,0.515102,0,0.484898
1,1,0.566208,0,0.433792
1,1,0.507698,0,0.492302
1,0,0.532868,1,0.467132
1,0,1.000000,1,0.000000
1,0,0.558251,1,0.441749
1,1,0.590848,0,0.409152
1,0,0.521097,1,0.478903
1,1,0.535259,0,0.464741
1,1,0.500643,0,0.499357
1,0,0.529910,1,0.470090
1,1,0.522970,0,0.477030
1,0,0.505611,1,0.494389
1,0,0.535024,1,0.464976
1,1,0.536078,0,0.463922
1,0,0.519315,1,0.480685
1,1,0.513145,0,0.486855
1,1,0.515692,0,0.484308
1,1,0.528411,0,0.471589
1,0,0.567009,1,0.432991
1,0,0.535024,1,0.464976
1,1,0.553172,0,0.446828
1,0,0.537006,1,0.462994
1,0,0.542250,1,0.457750
1,0,0.507241,1,0.492759
1,1,0.536730,0,0.463270
1,1,0.513931,0,0.486069
1,1,0.600122,0,0.399878
1,1,0.540459,0,0.459541
1,1,0.522508,0,0.477492
1,1,0.532395,0,0.467605
1,1,0.500438,0,0.499562
1,1,0.532395,0,0.467605
1,1,0.519561,0,0.480439
1,0,0.504180,1,0.495820
