y,y_pred,y_pred_prob,,
1,0,0.528712,1,0.471288
1,1,0.541585,0,0.458415
1,1,0.530814,0,0.469186
1,1,0.511854,0,0.488146
1,0,0.595777,1,0.404223
1,1,0.624952,0,0.375048
1,0,0.502824,1,0.497176
1,1,0.530814,0,0.469186
1,1,0.536243,0,0.463757
1,1,0.521526,0,0.478474
1,1,0.514682,0,0.485318
1,1,0.536920,0,0.463080
1,1,0.501446,0,0.498554
1,0,0.539464,1,0.460536
1,1,0.535907,0,0.464093
1,0,0.552283,1,0.447717
1,1,0.527515,0,0.472485
1,1,0.505702,0,0.494298
1,0,0.503369,1,0.496631
1,1,0.520501,0,0.479499
1,1,0.502444,0,0.497556
1,1,0.542184,0,0.457816
1,1,0.536784,0,0.463216
1,1,0.542578,0,0.457422
1,1,0.500066,0,0.499934
1,1,0.585100,0,0.414900
1,0,0.501209,1,0.498791
1,1,0.614131,0,0.385869
1,0,0.502174,1,0.497826
1,1,0.547348,0,0.452652
1,1,0.518332,0,0.481668
1,1,0.539639,0,0.460361
1,1,0.546336,0,0.453664
1,0,0.574194,1,0.425806
1,1,0.522485,0,0.477515
1,1,0.501491,0,0.498509
1,0,0.506888,1,0.493112
1,0,0.503369,1,0.496631
1,1,0.522761,0,0.477239
1,0,0.630827,1,0.369173
1,0,0.552283,1,0.447717
1,1,0.520784,0,0.479216
1,0,0.505889,1,0.494111
1,1,0.577476,0,0.422524
1,0,1.000000,1,0.000000
1,1,0.519582,0,0.480418
1,1,0.570011,0,0.429989
1,1,0.536177,0,0.463823
1,1,0.598478,0,0.401522
1,0,0.523235,1,0.476765
1,1,0.534230,0,0.465770
1,1,0.536920,0,0.463080
1,1,0.539045,0,0.460955
1,1,0.503785,0,0.496215
1,0,0.507978,1,0.492022
1,1,0.514368,0,0.485632
1,1,0.508927,0,0.491073
1,1,0.513368,0,0.486632
1,1,0.502069,0,0.497931
1,0,0.552370,1,0.447630
1,0,0.520077,1,0.479923
1,1,0.511473,0,0.488527
1,1,0.525379,0,0.474621
1,1,0.503715,0,0.496285
1,1,0.552752,0,0.447248
1,1,0.517281,0,0.482719
1,1,0.501388,0,0.498612
1,1,0.570011,0,0.429989
1,0,0.502174,1,0.497826
1,1,0.576962,0,0.423038
1,1,0.513857,0,0.486143
1,1,0.520664,0,0.479336
1,1,0.505518,0,0.494482
1,0,0.504547,1,0.495453
1,1,0.525773,0,0.474227
1,1,0.557612,0,0.442388
1,1,0.567473,0,0.432527
1,1,0.518608,0,0.481392
1,0,0.662037,1,0.337963
1,1,0.550416,0,0.449584
1,0,0.506985,1,0.493015
1,1,0.547348,0,0.452652
1,1,0.510814,0,0.489186
1,1,0.510326,0,0.489674
1,0,1.000000,1,0.000000
1,0,0.511722,1,0.488278
1,1,0.529588,0,0.470412
1,1,0.568921,0,0.431079
1,0,1.000000,1,0.000000
1,0,0.519714,1,0.480286
1,1,0.506904,0,0.493096
1,0,1.000000,1,0.000000
1,1,0.678406,0,0.321594
1,1,0.514716,0,0.485284
1,1,0.513368,0,0.486632
1,0,0.735901,1,0.264099
1,1,0.513857,0,0.486143
1,1,0.527248,0,0.472752
1,0,0.557333,1,0.442667
1,1,0.590648,0,0.409352
1,0,0.500604,1,0.499396
1,1,0.502069,0,0.497931
1,0,0.579012,1,0.420988
1,0,0.520077,1,0.479923
1,1,0.519230,0,0.480770
1,0,0.500358,1,0.499642
1,1,0.548159,0,0.451841
1,1,0.510448,0,0.489552
1,0,0.501685,1,0.498315
1,0,0.503032,1,0.496968
1,1,0.518608,0,0.481392
1,0,0.538072,1,0.461928
1,0,0.526183,1,0.473817
