y,y_pred,y_pred_prob,,
1,0,0.563883,1,0.436117
1,1,0.528656,0,0.471344
1,1,0.512969,0,0.487031
1,1,0.540169,0,0.459831
1,0,0.552249,1,0.447751
1,1,0.571197,0,0.428803
1,1,0.500206,0,0.499794
1,1,0.512969,0,0.487031
1,0,0.501131,1,0.498869
1,1,0.521687,0,0.478313
1,0,0.530504,1,0.469496
1,1,0.503844,0,0.496156
1,0,0.505745,1,0.494255
1,0,0.544214,1,0.455786
1,1,0.515411,0,0.484589
1,1,0.522915,0,0.477085
1,1,0.508665,0,0.491335
1,0,0.500998,1,0.499002
1,0,0.526720,1,0.473280
1,1,0.508905,0,0.491095
1,1,0.535209,0,0.464791
1,0,0.525314,1,0.474686
1,1,0.532003,0,0.467997
1,1,0.532254,0,0.467746
1,1,0.501042,0,0.498958
1,1,0.669844,0,0.330156
1,0,0.509897,1,0.490103
1,1,0.528953,0,0.471047
1,1,0.533070,0,0.466930
1,1,0.534403,0,0.465597
1,0,0.503577,1,0.496423
1,1,0.556419,0,0.443581
1,1,0.539783,0,0.460217
1,0,0.549537,1,0.450463
1,1,0.530076,0,0.469924
1,1,0.501330,0,0.498670
1,1,0.501248,0,0.498752
1,0,0.526720,1,0.473280
1,0,0.508192,1,0.491808
1,1,0.669633,0,0.330367
1,1,0.522915,0,0.477085
1,1,0.508245,0,0.491755
1,0,1.000000,1,0.000000
1,1,0.542619,0,0.457381
1,0,0.984596,1,0.015404
1,1,0.529400,0,0.470600
1,1,0.515853,0,0.484147
1,0,0.517194,1,0.482806
1,1,0.614547,0,0.385453
1,0,0.523101,1,0.476899
1,1,0.508079,0,0.491921
1,1,0.503844,0,0.496156
1,1,0.504171,0,0.495829
1,0,0.531667,1,0.468333
1,1,0.529760,0,0.470240
1,1,0.515445,0,0.484555
1,1,0.521556,0,0.478444
1,1,0.582051,0,0.417949
1,0,0.503286,1,0.496714
1,0,1.000000,1,0.000000
1,0,0.548593,1,0.451407
1,1,0.506478,0,0.493522
1,1,0.510853,0,0.489147
1,1,0.516856,0,0.483144
1,1,0.507896,0,0.492104
1,1,0.508131,0,0.491869
