y,y_pred,y_pred_prob,oth_pred,oth_pred_prob
1,1,0.525708,0,0.474292
1,1,0.546946,0,0.453054
1,0,0.509097,1,0.490903
1,1,0.538002,0,0.461998
1,1,0.536126,0,0.463874
1,1,0.507394,0,0.492606
1,1,0.504776,0,0.495224
1,1,0.502600,0,0.497400
1,0,0.590174,1,0.409826
1,1,0.529766,0,0.470234
1,1,0.559550,0,0.440450
1,1,0.530629,0,0.469371
1,0,0.563193,1,0.436807
1,1,0.573918,0,0.426082
1,1,0.581359,0,0.418641
1,1,0.518327,0,0.481673
1,1,0.534032,0,0.465968
1,1,0.513842,0,0.486158
1,1,0.767321,0,0.232679
1,1,0.524743,0,0.475257
1,1,0.539824,0,0.460176
1,1,0.514106,0,0.485894
1,1,0.532266,0,0.467734
1,1,0.511556,0,0.488444
1,1,0.526973,0,0.473027
1,1,0.594319,0,0.405681
1,1,0.508514,0,0.491486
1,0,0.522753,1,0.477247
1,1,0.513813,0,0.486187
1,0,0.568233,1,0.431767
1,0,1.000000,1,0.000000
1,1,0.509702,0,0.490298
1,1,0.575847,0,0.424153
1,0,1.000000,1,0.000000
1,1,0.512685,0,0.487315
1,0,1.000000,1,0.000000
1,0,0.502753,1,0.497247
1,1,0.541426,0,0.458574
1,1,0.543669,0,0.456331
1,1,0.520749,0,0.479251
1,0,0.529813,1,0.470187
1,1,0.504017,0,0.495983
1,1,0.503176,0,0.496824
1,0,0.565173,1,0.434827
1,1,0.539824,0,0.460176
1,1,0.525475,0,0.474525
1,1,0.510976,0,0.489024
1,1,0.738970,0,0.261030
1,1,0.561774,0,0.438226
1,0,0.524165,1,0.475835
1,1,0.583161,0,0.416839
1,1,0.545357,0,0.454643
1,1,0.542341,0,0.457659
1,1,0.558851,0,0.441149
1,0,0.563193,1,0.436807
1,1,0.738970,0,0.261030
1,1,0.531066,0,0.468934
1,1,0.539824,0,0.460176
1,0,0.523453,1,0.476547
1,0,0.534501,1,0.465499
1,0,0.512683,1,0.487317
1,1,0.506329,0,0.493671
1,1,0.518527,0,0.481473
1,0,0.525355,1,0.474645
1,1,0.515137,0,0.484863
1,0,0.510060,1,0.489940
1,0,0.720378,1,0.279622
1,1,0.518538,0,0.481462
1,1,0.507221,0,0.492779
1,1,0.534399,0,0.465601
1,1,0.543055,0,0.456945
1,1,0.559852,0,0.440148
1,1,0.530859,0,0.469141
1,0,0.525426,1,0.474574
1,1,0.526638,0,0.473362
1,0,0.508218,1,0.491782
1,0,0.540167,1,0.459833
1,0,0.560497,1,0.439503
1,0,0.522753,1,0.477247
