y,y_pred,y_pred_prob,oth_pred,oth_pred_prob
1,1,0.530814,0,0.469186
1,1,0.587468,0,0.412532
1,1,0.521820,0,0.478180
1,0,0.549610,1,0.450390
1,1,0.505247,0,0.494753
1,0,0.516902,1,0.483098
1,1,0.514550,0,0.485450
1,0,0.501308,1,0.498692
1,1,0.541746,0,0.458254
1,1,0.543536,0,0.456464
1,1,0.538348,0,0.461652
1,1,0.536243,0,0.463757
1,0,0.514539,1,0.485461
1,1,0.549477,0,0.450523
1,1,0.570506,0,0.429494
1,1,0.515499,0,0.484501
1,1,0.548880,0,0.451120
1,1,0.524596,0,0.475404
1,1,0.536227,0,0.463773
1,1,0.539639,0,0.460361
1,1,0.518608,0,0.481392
1,1,0.520328,0,0.479672
1,1,0.572211,0,0.427789
1,1,0.527733,0,0.472267
1,1,0.517837,0,0.482163
1,1,0.526438,0,0.473562
1,1,0.539420,0,0.460580
1,0,0.710681,1,0.289319
1,1,0.531426,0,0.468574
1,0,0.540158,1,0.459842
1,0,1.000000,1,0.000000
1,1,0.545478,0,0.454522
1,1,0.572587,0,0.427413
1,0,1.000000,1,0.000000
1,1,0.507668,0,0.492332
1,0,1.000000,1,0.000000
1,1,0.539930,0,0.460070
1,1,0.523152,0,0.476848
1,1,0.527486,0,0.472514
1,0,0.519469,1,0.480531
1,0,0.501321,1,0.498679
1,1,0.561281,0,0.438719
1,1,0.524802,0,0.475198
1,0,0.541807,1,0.458193
1,1,0.504828,0,0.495172
1,1,0.535907,0,0.464093
1,1,0.529239,0,0.470761
1,0,1.000000,1,0.000000
1,1,0.524738,0,0.475262
1,0,0.528925,1,0.471075
1,0,0.507463,1,0.492537
1,1,0.842496,0,0.157504
1,1,0.527917,0,0.472083
1,1,0.543137,0,0.456863
1,0,0.540453,1,0.459547
1,0,1.000000,1,0.000000
1,1,0.546366,0,0.453634
1,1,0.518608,0,0.481392
1,0,0.561958,1,0.438042
1,0,0.512861,1,0.487139
1,0,0.500358,1,0.499642
1,1,0.527944,0,0.472056
1,1,0.540876,0,0.459124
1,0,0.502174,1,0.497826
1,1,0.529525,0,0.470475
1,1,0.508901,0,0.491099
1,0,0.670748,1,0.329252
1,1,0.532201,0,0.467799
1,0,0.618386,1,0.381614
1,1,0.552027,0,0.447973
1,1,0.511971,0,0.488029
1,1,0.534520,0,0.465480
1,1,0.525405,0,0.474595
1,0,0.503369,1,0.496631
1,1,0.507356,0,0.492644
1,1,0.539009,0,0.460991
1,0,0.524623,1,0.475377
