y,y_pred,y_pred_prob,,
1,0,0.586903,1,0.413097
1,1,0.529311,0,0.470689
1,1,0.522508,0,0.477492
1,1,0.568501,0,0.431499
1,0,0.542250,1,0.457750
1,1,0.632855,0,0.367145
1,1,0.522071,0,0.477929
1,1,0.522508,0,0.477492
1,0,0.506743,1,0.493257
1,1,0.511225,0,0.488775
1,1,0.531736,0,0.468264
1,1,0.517179,0,0.482821
1,0,0.501187,1,0.498813
1,1,0.536280,0,0.463720
1,1,0.515102,0,0.484898
1,0,0.509473,1,0.490527
1,1,0.514361,0,0.485639
1,0,0.500999,1,0.499001
1,0,0.507241,1,0.492759
1,1,0.516731,0,0.483269
1,1,0.507868,0,0.492132
1,0,0.500777,1,0.499223
1,1,0.533206,0,0.466794
1,1,0.515874,0,0.484126
1,0,0.505615,1,0.494385
1,1,0.547597,0,0.452403
1,1,0.508756,0,0.491244
1,1,0.513032,0,0.486968
1,1,0.514457,0,0.485543
1,1,0.534101,0,0.465899
1,1,0.570919,0,0.429081
1,1,0.532146,0,0.467854
1,1,0.536250,0,0.463750
1,0,0.510929,1,0.489071
1,1,0.525947,0,0.474053
1,0,0.501891,1,0.498109
1,1,0.506921,0,0.493079
1,0,0.507241,1,0.492759
1,1,0.506179,0,0.493821
1,0,0.558251,1,0.441749
1,0,0.509473,1,0.490527
1,1,0.503970,0,0.496030
1,1,0.510471,0,0.489529
1,1,0.516410,0,0.483590
1,0,0.556543,1,0.443457
1,1,0.501864,0,0.498136
1,1,0.541087,0,0.458913
1,0,0.524797,1,0.475203
1,1,0.650169,0,0.349831
1,1,0.505019,0,0.494981
1,1,0.519169,0,0.480831
1,1,0.517179,0,0.482821
1,0,0.510830,1,0.489170
1,1,0.504263,0,0.495737
1,1,0.515628,0,0.484372
1,1,0.530388,0,0.469612
1,1,0.533177,0,0.466823
1,0,0.504487,1,0.495513
1,1,0.517369,0,0.482631
1,0,1.000000,1,0.000000
1,0,0.530181,1,0.469819
1,0,0.512100,1,0.487900
1,1,0.512310,0,0.487690
1,1,0.514893,0,0.485107
1,1,0.519157,0,0.480843
1,0,0.501616,1,0.498384
1,0,0.502769,1,0.497231
1,1,0.541087,0,0.458913
1,1,0.514457,0,0.485543
1,1,0.508261,0,0.491739
1,0,0.501348,1,0.498652
1,1,0.508826,0,0.491174
1,1,0.527520,0,0.472480
1,1,0.540684,0,0.459316
1,1,0.537665,0,0.462335
1,0,0.512898,1,0.487102
1,1,0.539939,0,0.460061
1,1,0.509329,0,0.490671
1,0,0.589957,1,0.410043
1,1,0.516640,0,0.483360
1,0,0.520285,1,0.479715
1,1,0.540459,0,0.459541
1,0,0.513567,1,0.486433
1,1,0.500950,0,0.499050
1,0,1.000000,1,0.000000
1,1,0.518779,0,0.481221
1,1,0.550503,0,0.449497
1,1,0.593624,0,0.406376
1,0,1.000000,1,0.000000
1,0,0.528788,1,0.471212
1,1,0.511729,0,0.488271
1,0,1.000000,1,0.000000
1,1,0.648960,0,0.351040
1,1,0.519024,0,0.480976
1,0,0.504487,1,0.495513
1,0,1.000000,1,0.000000
1,0,0.501348,1,0.498652
1,1,0.519085,0,0.480915
1,0,0.516534,1,0.483466
1,1,0.587143,0,0.412857
1,0,0.506716,1,0.493284
1,1,0.512123,0,0.487877
1,0,0.618989,1,0.381011
1,0,0.530181,1,0.469819
1,1,0.515031,0,0.484969
1,0,0.500227,1,0.499773
1,1,0.512220,0,0.487780
1,0,0.503095,1,0.496905
1,1,0.507799,0,0.492201
1,1,0.534086,0,0.465914
1,1,0.524550,0,0.475450
1,0,0.503780,1,0.496220
1,0,0.603007,1,0.396993
1,0,0.535024,1,0.464976
1,0,1.000000,1,0.000000
1,1,0.568501,0,0.431499
1,0,0.501348,1,0.498652
1,1,0.520715,0,0.479285
1,1,0.514457,0,0.485543
1,0,0.504180,1,0.495820
1,0,0.544366,1,0.455634
1,0,0.511040,1,0.488960
1,1,0.545667,0,0.454333
1,1,0.509546,0,0.490454
1,1,0.514457,0,0.485543
1,0,0.529406,1,0.470594
1,1,0.504389,0,0.495611
1,1,0.516640,0,0.483360
1,1,0.516410,0,0.483590
1,1,0.513238,0,0.486762
1,0,0.505126,1,0.494874
1,1,0.553172,0,0.446828
1,0,0.558251,1,0.441749
1,1,0.605903,0,0.394097
1,0,0.550132,1,0.449868
1,0,0.513457,1,0.486543
1,0,0.501616,1,0.498384
1,1,0.568362,0,0.431638
1,1,0.522508,0,0.477492
1,1,0.508675,0,0.491325
1,0,0.541559,1,0.458441
1,0,0.501616,1,0.498384
1,1,0.536078,0,0.463922
1,1,0.527426,0,0.472574
1,1,0.547038,0,0.452962
1,1,0.516500,0,0.483500
1,1,0.548302,0,0.451698
1,1,0.509715,0,0.490285
1,1,0.541684,0,0.458316
1,1,0.513166,0,0.486834
1,1,0.515023,0,0.484977
1,1,0.515102,0,0.484898
1,0,0.513165,1,0.486835
1,1,0.517457,0,0.482543
1,0,1.000000,1,0.000000
1,1,0.536078,0,0.463922
1,1,0.512547,0,0.487453
1,0,0.533187,1,0.466813
1,0,0.531865,1,0.468135
1,0,1.000000,1,0.000000
1,0,0.509473,1,0.490527
1,1,0.522395,0,0.477605
1,0,1.000000,1,0.000000
1,0,0.510830,1,0.489170
1,0,0.506539,1,0.493461
1,1,0.548275,0,0.451725
1,0,0.532908,1,0.467092
1,1,0.530115,0,0.469885
1,1,0.508826,0,0.491174
1,1,0.527201,0,0.472799
1,1,0.515102,0,0.484898
1,0,0.506938,1,0.493062
1,1,0.531011,0,0.468989
1,1,0.504217,0,0.495783
1,0,1.000000,1,0.000000
1,1,0.500643,0,0.499357
1,1,0.553574,0,0.446426
1,1,0.515931,0,0.484069
1,1,0.505351,0,0.494649
1,1,0.508625,0,0.491375
1,1,0.501460,0,0.498540
1,0,1.000000,1,0.000000
1,1,0.504155,0,0.495845
1,1,0.604210,0,0.395790
1,1,0.506638,0,0.493362
1,0,0.558251,1,0.441749
1,0,0.512194,1,0.487806
1,1,0.528668,0,0.471332
1,0,0.505883,1,0.494117
1,1,0.510320,0,0.489680
1,1,0.517149,0,0.482851
1,1,0.508743,0,0.491257
1,0,0.610564,1,0.389436
1,1,0.510364,0,0.489636
1,1,0.553172,0,0.446828
1,1,0.549301,0,0.450699
1,1,0.532355,0,0.467645
1,0,0.501910,1,0.498090
1,0,1.000000,1,0.000000
1,1,0.505351,0,0.494649
1,1,0.521439,0,0.478561
1,0,1.000000,1,0.000000
1,1,0.519937,0,0.480063
1,1,0.535973,0,0.464027
1,0,0.605187,1,0.394813
1,1,0.518939,0,0.481061
1,1,0.525541,0,0.474459
1,0,0.558251,1,0.441749
1,1,0.509955,0,0.490045
1,1,0.503502,0,0.496498
1,0,0.529220,1,0.470780
1,0,1.000000,1,0.000000
1,0,0.500673,1,0.499327
1,1,0.515064,0,0.484936
1,1,0.514460,0,0.485540
1,1,0.554210,0,0.445790
1,1,0.551732,0,0.448268
1,1,0.526530,0,0.473470
1,1,0.509329,0,0.490671
1,1,0.519736,0,0.480264
1,0,0.567009,1,0.432991
1,0,0.515427,1,0.484573
1,0,0.536018,1,0.463982
1,0,0.504180,1,0.495820
1,1,0.540459,0,0.459541
1,0,0.500227,1,0.499773
1,1,0.514457,0,0.485543
1,0,0.589957,1,0.410043
1,1,0.525983,0,0.474017
1,1,0.508826,0,0.491174
1,0,0.509000,1,0.491000
1,1,0.509715,0,0.490285
1,0,1.000000,1,0.000000
1,0,0.507708,1,0.492292
1,0,1.000000,1,0.000000
1,1,0.512836,0,0.487164
1,0,0.542250,1,0.457750
1,1,0.527789,0,0.472211
1,0,0.603007,1,0.396993
1,1,0.512220,0,0.487780
1,1,0.536078,0,0.463922
1,0,0.535024,1,0.464976
1,1,0.520553,0,0.479447
1,1,0.563675,0,0.436325
1,0,0.603007,1,0.396993
1,1,0.514361,0,0.485639
1,1,0.735821,0,0.264179
1,1,0.508743,0,0.491257
1,0,0.567009,1,0.432991
1,0,0.505126,1,0.494874
1,1,0.532146,0,0.467854
1,1,0.517149,0,0.482851
1,1,0.601718,0,0.398282
1,0,1.000000,1,0.000000
1,1,0.532377,0,0.467623
1,1,0.554357,0,0.445643
1,0,1.000000,1,0.000000
1,1,0.522508,0,0.477492
1,1,0.538836,0,0.461164
1,1,0.530637,0,0.469363
1,0,0.521097,1,0.478903
1,1,0.508675,0,0.491325
1,0,0.576682,1,0.423318
1,1,0.531749,0,0.468251
1,0,0.505451,1,0.494549
1,0,0.536018,1,0.463982
1,1,0.586011,0,0.413989
1,1,0.509167,0,0.490833
1,1,0.511398,0,0.488602
1,0,0.561093,1,0.438907
1,1,0.515355,0,0.484645
1,1,0.515931,0,0.484069
1,0,0.547794,1,0.452206
1,0,0.506048,1,0.493952
1,0,0.510929,1,0.489071
1,0,0.558251,1,0.441749
1,1,0.522913,0,0.477087
1,1,0.515102,0,0.484898
1,1,0.511185,0,0.488815
1,0,1.000000,1,0.000000
